request_id,opened_at,closed_at,service,request_type,assignment_group,status,fulfillment_hours
REQ20219,2025-11-09 21:49:37.623315,2025-11-13 20:49:37.623315,Корпоративная почта,Оборудование,NOC,Завершен,95
REQ20220,2025-11-08 23:52:37.623315,2025-11-10 04:52:37.623315,ERP,Согласование,Network,В работе,29
REQ20221,2025-11-09 10:50:37.623315,2025-11-13 05:50:37.623315,Корпоративная почта,Сброс пароля,NOC,Завершен,91
REQ20222,2025-11-09 00:38:37.623315,2025-11-11 04:38:37.623315,Корпоративная почта,BI-отчет,DBA,Завершен,52
REQ20223,2025-11-09 06:18:37.623315,2025-11-10 16:18:37.623315,Data Platform,Доступ,NOC,Отклонен,34
REQ20224,2025-11-09 06:45:37.623315,2025-11-11 16:45:37.623315,VPN,Учетная запись,NOC,Завершен,58
REQ20225,2025-11-09 14:08:37.623315,2025-11-10 04:08:37.623315,Сеть офисов,Учетная запись,Application Support,В работе,14
REQ20226,2025-11-09 12:04:37.623315,2025-11-11 05:04:37.623315,ERP,Оборудование,Service Desk L2,Отклонен,41
REQ20227,2025-11-09 01:08:37.623315,2025-11-12 01:08:37.623315,Сеть офисов,Доступ,Network,В работе,72
REQ20228,2025-11-09 19:40:37.623315,2025-11-10 22:40:37.623315,ERP,Доступ,Service Desk L2,Завершен,27
REQ20229,2025-11-09 02:36:37.623315,2025-11-12 13:36:37.623315,Data Platform,Сброс пароля,NOC,Завершен,83
REQ20230,2025-11-09 07:58:37.623315,2025-11-10 00:58:37.623315,Data Platform,Оборудование,NOC,Завершен,17
REQ20231,2025-11-09 18:11:37.623315,2025-11-13 12:11:37.623315,Data Platform,Учетная запись,Service Desk L1,Завершен,90
REQ20232,2025-11-09 11:10:37.623315,2025-11-10 00:10:37.623315,VPN,Оборудование,DBA,Завершен,13
REQ20233,2025-11-09 21:00:37.623315,2025-11-11 18:00:37.623315,Сервис-деск,Доступ,NOC,В работе,45
REQ20234,2025-11-09 19:30:37.623315,2025-11-13 14:30:37.623315,Сеть офисов,Доступ,Application Support,В работе,91
REQ20235,2025-11-09 06:41:37.623315,2025-11-12 07:41:37.623315,Сервис-деск,Сброс пароля,DBA,Отклонен,73
REQ20236,2025-11-09 05:22:37.623315,2025-11-12 23:22:37.623315,Data Platform,Сброс пароля,Service Desk L2,Завершен,90
REQ20237,2025-11-09 08:18:37.623315,2025-11-09 15:18:37.623315,Data Platform,Учетная запись,DBA,Отклонен,7
REQ20238,2025-11-09 08:55:37.623315,2025-11-13 03:55:37.623315,Data Platform,Оборудование,Service Desk L1,Завершен,91
REQ20239,2025-11-10 03:51:37.623315,2025-11-11 00:51:37.623315,Сервис-деск,Согласование,Service Desk L1,В работе,21
REQ20240,2025-11-10 14:11:37.623315,2025-11-12 20:11:37.623315,Сервис-деск,Доступ,Service Desk L1,В работе,54
REQ20241,2025-11-10 18:07:37.623315,2025-11-14 10:07:37.623315,ERP,BI-отчет,Service Desk L1,Завершен,88
REQ20242,2025-11-10 05:57:37.623315,2025-11-13 22:57:37.623315,ERP,Сброс пароля,NOC,Завершен,89
REQ20243,2025-11-10 08:14:37.623315,2025-11-10 13:14:37.623315,ERP,Согласование,Service Desk L2,Отклонен,5
REQ20244,2025-11-10 04:57:37.623315,2025-11-13 11:57:37.623315,Data Platform,Оборудование,Service Desk L1,Завершен,79
REQ20245,2025-11-10 09:06:37.623315,2025-11-12 03:06:37.623315,Сервис-деск,Доступ,Network,В работе,42
REQ20246,2025-11-10 01:52:37.623315,2025-11-11 09:52:37.623315,ERP,Согласование,Network,Завершен,32
REQ20247,2025-11-10 15:40:37.623315,2025-11-11 15:40:37.623315,Корпоративная почта,Сброс пароля,NOC,Завершен,24
REQ20248,2025-11-10 01:49:37.623315,2025-11-12 19:49:37.623315,Корпоративная почта,Согласование,Service Desk L1,Завершен,66
REQ20249,2025-11-10 05:42:37.623315,2025-11-12 20:42:37.623315,Сервис-деск,BI-отчет,Network,В работе,63
REQ20250,2025-11-10 04:10:37.623315,2025-11-10 18:10:37.623315,Сеть офисов,Учетная запись,Application Support,Завершен,14
REQ20251,2025-11-10 22:23:37.623315,2025-11-13 10:23:37.623315,Data Platform,Учетная запись,Service Desk L1,Завершен,60
REQ20252,2025-11-09 23:40:37.623315,2025-11-10 06:40:37.623315,Сервис-деск,BI-отчет,NOC,В работе,7
REQ20253,2025-11-10 14:17:37.623315,2025-11-10 21:17:37.623315,Корпоративная почта,BI-отчет,Service Desk L2,Отклонен,7
REQ20254,2025-11-10 08:22:37.623315,2025-11-13 11:22:37.623315,ERP,Учетная запись,Application Support,В работе,75
REQ20255,2025-11-10 05:33:37.623315,2025-11-11 19:33:37.623315,ERP,BI-отчет,Network,В работе,38
REQ20256,2025-11-10 20:28:37.623315,2025-11-12 08:28:37.623315,VPN,Оборудование,Network,Завершен,36
REQ20257,2025-11-10 00:00:37.623315,2025-11-13 01:00:37.623315,Сеть офисов,Доступ,Application Support,Отклонен,73
REQ20258,2025-11-10 10:56:37.623315,2025-11-12 04:56:37.623315,ERP,Оборудование,Service Desk L2,В работе,42
REQ20259,2025-11-10 17:36:37.623315,2025-11-11 16:36:37.623315,Корпоративная почта,Сброс пароля,Service Desk L1,В работе,23
REQ20260,2025-11-10 16:49:37.623315,2025-11-11 00:49:37.623315,VPN,Доступ,DBA,Отклонен,8
REQ20261,2025-11-10 00:27:37.623315,2025-11-12 03:27:37.623315,Корпоративная почта,Доступ,DBA,В работе,51
REQ20262,2025-11-10 05:06:37.623315,2025-11-13 11:06:37.623315,Сеть офисов,Учетная запись,Service Desk L2,Отклонен,78
REQ20263,2025-11-10 14:00:37.623315,2025-11-12 13:00:37.623315,ERP,Сброс пароля,Application Support,Отклонен,47
REQ20264,2025-11-10 21:12:37.623315,2025-11-13 19:12:37.623315,Корпоративная почта,Согласование,Service Desk L1,Завершен,70
REQ20265,2025-11-10 02:13:37.623315,2025-11-13 21:13:37.623315,Data Platform,Доступ,DBA,В работе,91
REQ20266,2025-11-10 21:02:37.623315,2025-11-14 17:02:37.623315,Data Platform,Согласование,Application Support,Завершен,92
REQ20267,2025-11-10 04:16:37.623315,2025-11-13 12:16:37.623315,ERP,Сброс пароля,DBA,Завершен,80
REQ20268,2025-11-10 22:19:37.623315,2025-11-14 13:19:37.623315,ERP,Сброс пароля,DBA,В работе,87
REQ20269,2025-11-09 23:25:37.623315,2025-11-12 13:25:37.623315,Корпоративная почта,Сброс пароля,DBA,В работе,62
REQ20270,2025-11-10 04:39:37.623315,2025-11-12 02:39:37.623315,Сеть офисов,BI-отчет,Application Support,Отклонен,46
REQ20271,2025-11-10 02:46:37.623315,2025-11-13 23:46:37.623315,Корпоративная почта,Сброс пароля,Service Desk L1,Отклонен,93
REQ20272,2025-11-10 02:11:37.623315,2025-11-11 18:11:37.623315,Сеть офисов,Согласование,DBA,Отклонен,40
REQ20273,2025-11-10 12:36:37.623315,2025-11-13 21:36:37.623315,VPN,BI-отчет,Application Support,В работе,81
REQ20274,2025-11-11 05:11:37.623315,2025-11-11 10:11:37.623315,Data Platform,BI-отчет,NOC,Завершен,5
REQ20275,2025-11-11 07:07:37.623315,2025-11-13 17:07:37.623315,Сеть офисов,BI-отчет,Network,В работе,58
REQ20276,2025-11-11 06:08:37.623315,2025-11-14 22:08:37.623315,ERP,Оборудование,NOC,В работе,88
REQ20277,2025-11-11 06:27:37.623315,2025-11-12 14:27:37.623315,Сервис-деск,Согласование,Application Support,В работе,32
REQ20278,2025-11-11 06:25:37.623315,2025-11-13 20:25:37.623315,Сеть офисов,Согласование,NOC,В работе,62
REQ20279,2025-11-11 03:34:37.623315,2025-11-14 11:34:37.623315,Data Platform,Оборудование,DBA,В работе,80
REQ20280,2025-11-11 03:50:37.623315,2025-11-15 01:50:37.623315,VPN,Учетная запись,Network,В работе,94
REQ20281,2025-11-11 05:42:37.623315,2025-11-11 23:42:37.623315,Корпоративная почта,Учетная запись,Service Desk L1,Завершен,18
REQ20282,2025-11-11 07:29:37.623315,2025-11-11 23:29:37.623315,Data Platform,Согласование,DBA,Завершен,16
REQ20283,2025-11-11 09:35:37.623315,2025-11-13 00:35:37.623315,Сеть офисов,Оборудование,Service Desk L2,Отклонен,39
REQ20284,2025-11-11 04:57:37.623315,2025-11-14 04:57:37.623315,VPN,Доступ,DBA,Отклонен,72
REQ20285,2025-11-11 15:16:37.623315,2025-11-12 20:16:37.623315,Сеть офисов,Согласование,DBA,В работе,29
REQ20286,2025-11-11 00:07:37.623315,2025-11-13 08:07:37.623315,Сервис-деск,Оборудование,Application Support,В работе,56
REQ20287,2025-11-11 12:58:37.623315,2025-11-12 18:58:37.623315,Сеть офисов,Оборудование,Service Desk L1,Завершен,30
REQ20288,2025-11-11 12:23:37.623315,2025-11-11 19:23:37.623315,Data Platform,Учетная запись,Service Desk L1,Завершен,7
REQ20289,2025-11-11 12:54:37.623315,2025-11-13 16:54:37.623315,Data Platform,Учетная запись,NOC,В работе,52
REQ20290,2025-11-11 14:36:37.623315,2025-11-12 02:36:37.623315,Сеть офисов,Доступ,Service Desk L2,Отклонен,12
REQ20291,2025-11-11 12:34:37.623315,2025-11-12 06:34:37.623315,ERP,Сброс пароля,Application Support,Отклонен,18
REQ20292,2025-11-11 01:22:37.623315,2025-11-13 16:22:37.623315,Сервис-деск,Сброс пароля,Application Support,Отклонен,63
REQ20293,2025-11-11 14:15:37.623315,2025-11-14 17:15:37.623315,Сервис-деск,BI-отчет,NOC,В работе,75
REQ20294,2025-11-12 10:24:37.623315,2025-11-16 00:24:37.623315,VPN,Оборудование,Application Support,Отклонен,86
REQ20295,2025-11-12 08:58:37.623315,2025-11-12 20:58:37.623315,Сервис-деск,Доступ,Network,Завершен,12
REQ20296,2025-11-12 09:31:37.623315,2025-11-12 13:31:37.623315,Сеть офисов,Сброс пароля,NOC,В работе,4
REQ20297,2025-11-12 21:16:37.623315,2025-11-15 05:16:37.623315,Сеть офисов,BI-отчет,DBA,В работе,56
REQ20298,2025-11-12 00:05:37.623315,2025-11-14 14:05:37.623315,Сеть офисов,Доступ,Network,В работе,62
REQ20299,2025-11-12 17:45:37.623315,2025-11-14 12:45:37.623315,Сеть офисов,Доступ,DBA,Завершен,43
REQ20300,2025-11-12 22:04:37.623315,2025-11-14 02:04:37.623315,ERP,Согласование,Service Desk L1,Отклонен,28
REQ20301,2025-11-12 09:31:37.623315,2025-11-15 17:31:37.623315,ERP,Сброс пароля,DBA,Завершен,80
REQ20302,2025-11-12 15:01:37.623315,2025-11-13 02:01:37.623315,Сеть офисов,Оборудование,Network,В работе,11
REQ20303,2025-11-12 00:40:37.623315,2025-11-15 03:40:37.623315,Data Platform,Оборудование,Service Desk L1,Отклонен,75
REQ20304,2025-11-12 02:06:37.623315,2025-11-15 06:06:37.623315,Корпоративная почта,BI-отчет,Network,В работе,76
REQ20305,2025-11-12 01:57:37.623315,2025-11-14 22:57:37.623315,Data Platform,Согласование,Application Support,В работе,69
REQ20306,2025-11-12 02:02:37.623315,2025-11-13 18:02:37.623315,Сеть офисов,Сброс пароля,DBA,Отклонен,40
REQ20307,2025-11-12 16:41:37.623315,2025-11-13 19:41:37.623315,Data Platform,Согласование,Network,Отклонен,27
REQ20308,2025-11-12 15:50:37.623315,2025-11-16 06:50:37.623315,Сеть офисов,Оборудование,NOC,Отклонен,87
REQ20309,2025-11-12 21:54:37.623315,2025-11-13 22:54:37.623315,Сеть офисов,Согласование,Application Support,Отклонен,25
REQ20310,2025-11-12 22:50:37.623315,2025-11-14 10:50:37.623315,Сервис-деск,BI-отчет,Service Desk L1,В работе,36
REQ20311,2025-11-12 18:07:37.623315,2025-11-16 04:07:37.623315,Корпоративная почта,BI-отчет,Application Support,В работе,82
REQ20312,2025-11-12 13:30:37.623315,2025-11-13 21:30:37.623315,VPN,Учетная запись,Service Desk L2,В работе,32
REQ20313,2025-11-12 12:47:37.623315,2025-11-14 06:47:37.623315,Корпоративная почта,Учетная запись,Application Support,В работе,42
REQ20314,2025-11-12 08:13:37.623315,2025-11-13 22:13:37.623315,Сервис-деск,Оборудование,Network,Отклонен,38
REQ20315,2025-11-12 18:36:37.623315,2025-11-14 23:36:37.623315,VPN,Доступ,Application Support,Завершен,53
REQ20316,2025-11-11 23:36:37.623315,2025-11-13 16:36:37.623315,Data Platform,Согласование,Service Desk L1,В работе,41
REQ20317,2025-11-12 13:02:37.623315,2025-11-12 19:02:37.623315,VPN,Оборудование,Network,Завершен,6
REQ20318,2025-11-11 23:37:37.623315,2025-11-13 12:37:37.623315,Сервис-деск,BI-отчет,Application Support,Отклонен,37
REQ20319,2025-11-12 01:07:37.623315,2025-11-14 17:07:37.623315,Корпоративная почта,Доступ,NOC,В работе,64
REQ20320,2025-11-12 18:40:37.623315,2025-11-13 04:40:37.623315,Data Platform,Сброс пароля,Service Desk L2,Отклонен,10
REQ20321,2025-11-12 01:46:37.623315,2025-11-15 23:46:37.623315,VPN,Оборудование,NOC,Отклонен,94
REQ20322,2025-11-13 14:15:37.623315,2025-11-16 10:15:37.623315,Сервис-деск,Сброс пароля,NOC,В работе,68
REQ20323,2025-11-13 04:10:37.623315,2025-11-13 07:10:37.623315,Сервис-деск,BI-отчет,NOC,Завершен,3
REQ20324,2025-11-13 09:41:37.623315,2025-11-15 14:41:37.623315,VPN,Согласование,NOC,В работе,53
REQ20325,2025-11-13 01:03:37.623315,2025-11-16 13:03:37.623315,VPN,BI-отчет,NOC,Отклонен,84
REQ20326,2025-11-13 22:12:37.623315,2025-11-17 12:12:37.623315,Сеть офисов,Сброс пароля,DBA,В работе,86
REQ20327,2025-11-13 21:05:37.623315,2025-11-16 21:05:37.623315,ERP,Учетная запись,Service Desk L2,В работе,72
REQ20328,2025-11-13 10:21:37.623315,2025-11-14 23:21:37.623315,Сеть офисов,BI-отчет,Application Support,Отклонен,37
REQ20329,2025-11-13 11:49:37.623315,2025-11-16 23:49:37.623315,VPN,BI-отчет,Service Desk L1,Отклонен,84
REQ20330,2025-11-13 19:49:37.623315,2025-11-17 14:49:37.623315,ERP,Учетная запись,DBA,Завершен,91
REQ20331,2025-11-13 08:26:37.623315,2025-11-13 14:26:37.623315,Сеть офисов,Сброс пароля,DBA,Отклонен,6
REQ20332,2025-11-13 23:08:37.623315,2025-11-14 17:08:37.623315,Сеть офисов,BI-отчет,Network,Завершен,18
REQ20333,2025-11-13 01:53:37.623315,2025-11-16 01:53:37.623315,ERP,BI-отчет,Network,Отклонен,72
REQ20334,2025-11-13 04:22:37.623315,2025-11-13 09:22:37.623315,Сеть офисов,BI-отчет,Network,Завершен,5
REQ20335,2025-11-13 09:07:37.623315,2025-11-15 17:07:37.623315,Сеть офисов,Доступ,Service Desk L2,Завершен,56
REQ20336,2025-11-13 10:37:37.623315,2025-11-16 20:37:37.623315,Сеть офисов,Сброс пароля,NOC,Завершен,82
REQ20337,2025-11-13 19:28:37.623315,2025-11-16 06:28:37.623315,ERP,BI-отчет,Service Desk L2,Завершен,59
REQ20338,2025-11-13 13:42:37.623315,2025-11-14 21:42:37.623315,Сервис-деск,BI-отчет,Service Desk L1,Отклонен,32
REQ20339,2025-11-13 20:03:37.623315,2025-11-16 18:03:37.623315,Сеть офисов,Оборудование,Network,В работе,70
REQ20340,2025-11-13 09:03:37.623315,2025-11-17 06:03:37.623315,Сеть офисов,Учетная запись,Application Support,Отклонен,93
REQ20341,2025-11-13 11:54:37.623315,2025-11-17 11:54:37.623315,VPN,Доступ,Network,Отклонен,96
REQ20342,2025-11-13 17:33:37.623315,2025-11-15 17:33:37.623315,Data Platform,Доступ,Application Support,Отклонен,48
REQ20343,2025-11-13 13:14:37.623315,2025-11-15 19:14:37.623315,Корпоративная почта,Доступ,NOC,В работе,54
REQ20344,2025-11-13 03:51:37.623315,2025-11-14 08:51:37.623315,Data Platform,Доступ,Network,Отклонен,29
REQ20345,2025-11-13 15:46:37.623315,2025-11-16 20:46:37.623315,Сеть офисов,BI-отчет,DBA,В работе,77
REQ20346,2025-11-13 17:52:37.623315,2025-11-17 04:52:37.623315,Data Platform,Согласование,Service Desk L2,В работе,83
REQ20347,2025-11-13 22:47:37.623315,2025-11-14 20:47:37.623315,VPN,BI-отчет,Application Support,В работе,22
REQ20348,2025-11-13 21:50:37.623315,2025-11-14 15:50:37.623315,Сервис-деск,BI-отчет,Service Desk L1,Завершен,18
REQ20349,2025-11-13 21:34:37.623315,2025-11-16 09:34:37.623315,Data Platform,Доступ,Service Desk L2,Завершен,60
REQ20350,2025-11-14 21:14:37.623315,2025-11-16 20:14:37.623315,ERP,Оборудование,DBA,В работе,47
REQ20351,2025-11-14 21:09:37.623315,2025-11-17 02:09:37.623315,Сервис-деск,BI-отчет,Network,В работе,53
REQ20352,2025-11-14 17:22:37.623315,2025-11-17 19:22:37.623315,Корпоративная почта,Оборудование,Application Support,В работе,74
REQ20353,2025-11-14 18:01:37.623315,2025-11-18 01:01:37.623315,Сеть офисов,BI-отчет,DBA,В работе,79
REQ20354,2025-11-14 05:46:37.623315,2025-11-14 15:46:37.623315,Сеть офисов,Согласование,Application Support,В работе,10
REQ20355,2025-11-14 02:42:37.623315,2025-11-17 04:42:37.623315,Data Platform,Учетная запись,Network,Завершен,74
REQ20356,2025-11-14 04:27:37.623315,2025-11-17 20:27:37.623315,Сеть офисов,Оборудование,NOC,Отклонен,88
REQ20357,2025-11-14 18:52:37.623315,2025-11-14 23:52:37.623315,VPN,Оборудование,NOC,В работе,5
REQ20358,2025-11-14 08:34:37.623315,2025-11-15 15:34:37.623315,ERP,Учетная запись,Service Desk L1,Завершен,31
REQ20359,2025-11-14 13:24:37.623315,2025-11-16 14:24:37.623315,Сеть офисов,Доступ,Application Support,В работе,49
REQ20360,2025-11-14 12:46:37.623315,2025-11-15 10:46:37.623315,Корпоративная почта,Оборудование,Service Desk L1,В работе,22
REQ20361,2025-11-14 15:08:37.623315,2025-11-15 01:08:37.623315,Data Platform,Оборудование,Application Support,Завершен,10
REQ20362,2025-11-14 08:48:37.623315,2025-11-18 04:48:37.623315,Сервис-деск,Согласование,Application Support,Отклонен,92
REQ20363,2025-11-14 17:40:37.623315,2025-11-17 22:40:37.623315,VPN,BI-отчет,Service Desk L2,Отклонен,77
REQ20364,2025-11-14 13:38:37.623315,2025-11-15 16:38:37.623315,Корпоративная почта,Оборудование,DBA,Завершен,27
REQ20365,2025-11-14 11:59:37.623315,2025-11-15 20:59:37.623315,Сеть офисов,Сброс пароля,Service Desk L1,В работе,33
REQ20366,2025-11-14 13:50:37.623315,2025-11-17 16:50:37.623315,Корпоративная почта,Учетная запись,NOC,В работе,75
REQ20367,2025-11-14 20:17:37.623315,2025-11-17 08:17:37.623315,ERP,Учетная запись,Service Desk L2,В работе,60
REQ20368,2025-11-14 12:00:37.623315,2025-11-15 12:00:37.623315,Data Platform,Оборудование,Application Support,Отклонен,24
REQ20369,2025-11-14 22:48:37.623315,2025-11-17 10:48:37.623315,Data Platform,Учетная запись,Application Support,Отклонен,60
REQ20370,2025-11-14 17:27:37.623315,2025-11-16 21:27:37.623315,Сервис-деск,Доступ,Application Support,Завершен,52
REQ20371,2025-11-14 08:17:37.623315,2025-11-17 18:17:37.623315,Сеть офисов,Сброс пароля,Service Desk L2,Завершен,82
REQ20372,2025-11-14 22:07:37.623315,2025-11-18 20:07:37.623315,VPN,Согласование,DBA,Отклонен,94
REQ20373,2025-11-14 02:44:37.623315,2025-11-14 13:44:37.623315,Корпоративная почта,BI-отчет,Network,В работе,11
REQ20374,2025-11-14 13:31:37.623315,2025-11-15 23:31:37.623315,VPN,BI-отчет,NOC,В работе,34
REQ20375,2025-11-13 23:25:37.623315,2025-11-17 10:25:37.623315,Сервис-деск,Учетная запись,Service Desk L2,В работе,83
REQ20376,2025-11-14 11:42:37.623315,2025-11-16 16:42:37.623315,VPN,Согласование,NOC,Завершен,53
REQ20377,2025-11-14 07:28:37.623315,2025-11-18 03:28:37.623315,VPN,Сброс пароля,Service Desk L2,Отклонен,92
REQ20378,2025-11-14 13:52:37.623315,2025-11-17 02:52:37.623315,Корпоративная почта,Доступ,Service Desk L1,Отклонен,61
REQ20379,2025-11-14 07:06:37.623315,2025-11-16 17:06:37.623315,VPN,Согласование,Network,Завершен,58
REQ20380,2025-11-15 00:01:37.623315,2025-11-16 19:01:37.623315,Корпоративная почта,Учетная запись,Network,Завершен,43
REQ20381,2025-11-15 22:41:37.623315,2025-11-19 14:41:37.623315,Data Platform,Оборудование,Service Desk L1,В работе,88
REQ20382,2025-11-15 12:08:37.623315,2025-11-18 20:08:37.623315,Корпоративная почта,Сброс пароля,DBA,В работе,80
REQ20383,2025-11-15 21:15:37.623315,2025-11-19 16:15:37.623315,Корпоративная почта,Учетная запись,DBA,В работе,91
REQ20384,2025-11-15 18:33:37.623315,2025-11-19 15:33:37.623315,VPN,BI-отчет,Service Desk L1,Отклонен,93
REQ20385,2025-11-15 15:23:37.623315,2025-11-16 09:23:37.623315,Data Platform,Доступ,Network,Отклонен,18
REQ20386,2025-11-15 17:16:37.623315,2025-11-18 06:16:37.623315,VPN,Согласование,NOC,В работе,61
REQ20387,2025-11-15 20:55:37.623315,2025-11-17 04:55:37.623315,VPN,Оборудование,Application Support,Отклонен,32
REQ20388,2025-11-15 21:26:37.623315,2025-11-16 12:26:37.623315,Data Platform,Учетная запись,NOC,Завершен,15
REQ20389,2025-11-15 10:18:37.623315,2025-11-17 13:18:37.623315,ERP,Оборудование,Service Desk L2,В работе,51
REQ20390,2025-11-15 20:51:37.623315,2025-11-19 11:51:37.623315,Корпоративная почта,Учетная запись,Application Support,Отклонен,87
REQ20391,2025-11-15 20:07:37.623315,2025-11-18 12:07:37.623315,Корпоративная почта,Учетная запись,Network,Завершен,64
REQ20392,2025-11-15 18:10:37.623315,2025-11-19 00:10:37.623315,Корпоративная почта,Учетная запись,Network,В работе,78
REQ20393,2025-11-15 22:08:37.623315,2025-11-19 22:08:37.623315,Сервис-деск,Согласование,Service Desk L2,Отклонен,96
REQ20394,2025-11-15 17:15:37.623315,2025-11-18 02:15:37.623315,VPN,Оборудование,Network,Завершен,57
REQ20395,2025-11-15 08:26:37.623315,2025-11-16 00:26:37.623315,Корпоративная почта,Сброс пароля,Service Desk L2,Отклонен,16
REQ20396,2025-11-15 06:08:37.623315,2025-11-15 22:08:37.623315,Сеть офисов,Сброс пароля,Application Support,В работе,16
REQ20397,2025-11-15 11:57:37.623315,2025-11-19 11:57:37.623315,Корпоративная почта,Сброс пароля,NOC,Отклонен,96
REQ20398,2025-11-15 16:33:37.623315,2025-11-17 19:33:37.623315,Data Platform,Сброс пароля,Network,Отклонен,51
REQ20399,2025-11-15 03:54:37.623315,2025-11-18 17:54:37.623315,Сеть офисов,BI-отчет,Application Support,Завершен,86
REQ20400,2025-11-15 11:21:37.623315,2025-11-18 09:21:37.623315,Data Platform,Сброс пароля,Application Support,В работе,70
REQ20401,2025-11-16 03:43:37.623315,2025-11-18 12:43:37.623315,Корпоративная почта,Сброс пароля,Service Desk L2,Завершен,57
REQ20402,2025-11-16 02:33:37.623315,2025-11-17 16:33:37.623315,Корпоративная почта,Оборудование,DBA,В работе,38
REQ20403,2025-11-16 22:42:37.623315,2025-11-17 04:42:37.623315,VPN,Учетная запись,Application Support,В работе,6
REQ20404,2025-11-16 20:38:37.623315,2025-11-17 13:38:37.623315,Data Platform,Согласование,Service Desk L1,В работе,17
REQ20405,2025-11-16 21:06:37.623315,2025-11-17 15:06:37.623315,ERP,Согласование,Service Desk L1,Отклонен,18
REQ20406,2025-11-16 23:14:37.623315,2025-11-19 02:14:37.623315,VPN,Доступ,NOC,Завершен,51
REQ20407,2025-11-16 03:30:37.623315,2025-11-18 01:30:37.623315,Сеть офисов,Доступ,Service Desk L2,Завершен,46
REQ20408,2025-11-16 01:04:37.623315,2025-11-17 22:04:37.623315,Data Platform,BI-отчет,Service Desk L2,Завершен,45
REQ20409,2025-11-16 12:51:37.623315,2025-11-18 03:51:37.623315,ERP,Согласование,NOC,В работе,39
REQ20410,2025-11-16 07:00:37.623315,2025-11-17 04:00:37.623315,Сервис-деск,BI-отчет,Application Support,Завершен,21
REQ20411,2025-11-16 08:10:37.623315,2025-11-17 00:10:37.623315,ERP,Учетная запись,Application Support,Отклонен,16
REQ20412,2025-11-16 12:33:37.623315,2025-11-19 02:33:37.623315,Сервис-деск,Доступ,Service Desk L2,Отклонен,62
REQ20413,2025-11-16 16:00:37.623315,2025-11-17 17:00:37.623315,VPN,BI-отчет,Service Desk L2,Отклонен,25
REQ20414,2025-11-16 03:35:37.623315,2025-11-16 20:35:37.623315,VPN,Согласование,NOC,В работе,17
REQ20415,2025-11-16 06:20:37.623315,2025-11-17 02:20:37.623315,Data Platform,Доступ,Service Desk L1,Завершен,20
REQ20416,2025-11-16 02:16:37.623315,2025-11-16 10:16:37.623315,Data Platform,Согласование,Service Desk L1,В работе,8
REQ20417,2025-11-16 22:01:37.623315,2025-11-18 05:01:37.623315,VPN,Сброс пароля,DBA,В работе,31
REQ20418,2025-11-16 00:53:37.623315,2025-11-18 08:53:37.623315,Сервис-деск,Доступ,Network,Завершен,56
REQ20419,2025-11-16 07:44:37.623315,2025-11-17 20:44:37.623315,ERP,Учетная запись,DBA,Завершен,37
REQ20420,2025-11-16 10:18:37.623315,2025-11-16 18:18:37.623315,VPN,Доступ,NOC,Завершен,8
REQ20421,2025-11-16 23:30:37.623315,2025-11-18 16:30:37.623315,Сеть офисов,Доступ,DBA,Завершен,41
REQ20422,2025-11-17 13:41:37.623315,2025-11-18 12:41:37.623315,ERP,Оборудование,NOC,В работе,23
REQ20423,2025-11-17 17:44:37.623315,2025-11-19 16:44:37.623315,Корпоративная почта,Доступ,Application Support,Отклонен,47
REQ20424,2025-11-17 13:37:37.623315,2025-11-20 03:37:37.623315,ERP,Согласование,Service Desk L2,Завершен,62
REQ20425,2025-11-17 02:57:37.623315,2025-11-19 18:57:37.623315,Корпоративная почта,Сброс пароля,Network,В работе,64
REQ20426,2025-11-17 13:15:37.623315,2025-11-20 22:15:37.623315,Сервис-деск,Оборудование,DBA,В работе,81
REQ20427,2025-11-17 16:15:37.623315,2025-11-21 01:15:37.623315,ERP,Сброс пароля,NOC,Отклонен,81
REQ20428,2025-11-17 12:53:37.623315,2025-11-19 23:53:37.623315,ERP,Учетная запись,NOC,Отклонен,59
REQ20429,2025-11-17 19:24:37.623315,2025-11-21 19:24:37.623315,VPN,Учетная запись,Service Desk L1,Завершен,96
REQ20430,2025-11-17 04:15:37.623315,2025-11-17 19:15:37.623315,ERP,Согласование,Application Support,Отклонен,15
REQ20431,2025-11-17 12:15:37.623315,2025-11-17 23:15:37.623315,VPN,Согласование,DBA,Отклонен,11
REQ20432,2025-11-17 01:43:37.623315,2025-11-19 14:43:37.623315,Data Platform,Учетная запись,Service Desk L1,В работе,61
REQ20433,2025-11-17 02:26:37.623315,2025-11-18 03:26:37.623315,Сервис-деск,Доступ,DBA,В работе,25
REQ20434,2025-11-17 05:46:37.623315,2025-11-19 01:46:37.623315,Корпоративная почта,Сброс пароля,Network,Отклонен,44
REQ20435,2025-11-17 14:34:37.623315,2025-11-21 09:34:37.623315,Сервис-деск,Согласование,NOC,В работе,91
REQ20436,2025-11-17 13:23:37.623315,2025-11-20 12:23:37.623315,VPN,Согласование,Application Support,Отклонен,71
REQ20437,2025-11-17 05:41:37.623315,2025-11-20 07:41:37.623315,Корпоративная почта,BI-отчет,DBA,Завершен,74
REQ20438,2025-11-17 11:11:37.623315,2025-11-19 20:11:37.623315,Data Platform,Оборудование,NOC,Завершен,57
REQ20439,2025-11-18 08:50:37.623315,2025-11-21 01:50:37.623315,Data Platform,BI-отчет,DBA,Завершен,65
